"ads","Название","price","Статус","date","Адрес","Застройщик","Ссылка","class","floor","ceiling","structure","finishing","Количество.квартир","kitchen","heating","Лифт","Фасад","parking","Квартир.в.продаже","city"
125,"ЖК Jardin в Алматы",780000,"Строящийся","Первая очередь - I квартал 2024 г.Вторая очередь - I квартал 2024 г.Третья очередь - II квартал 2024 г.Четвертая очередь - II квартал 2024 г.","Алматы, Бостандыкский р-н, мкрн. Нурлытау, 932","ТОО Lider Company KZ","https://krisha.kz/complex/show/almaty/jardin/","business","3 этажа","2.7 м","monolithic","pre-finish",227,"na","autonomous","Не указано","фиброцементные панели","both","7","almaty"
126,"ЖК Lumiere в Алматы",NA,"Строящийся","2023 г.","Алматы, Бостандыкский р-н, просп. Аль-Фараби, западнее реки Есентай","BAZIS–А","https://krisha.kz/complex/show/almaty/lumiere/","elite","7 этажей","3.3 м","brick","pre-finish",100,"na","na","грузовой","Не указано","underground","Не указано","almaty"
127,"Коттеджный городок Madeira Villas в Алматы",1200000,"Строящийся","IV квартал 2023 г.","Алматы, Бостандыкский р-н, вверх по Навои","BAAS GROUP","https://krisha.kz/complex/show/almaty/madeira/","elite","2 этажа","3.7 м","monolithic","pre-finish",4,"discrete","autonomous","Не указано","фиброцементные панели","surface","4","almaty"
128,"ЖК Мадениет в Алматы",NA,"Строящийся","II квартал 2023 г.","Алматы, Алатауский р-н, уч.№845","Atrix Group","https://krisha.kz/complex/show/almaty/madeniet/","economy","6 этажей","3 м","monolithic","finish",1464,"na","central","пассажирский","Не указано","surface","1464","almaty"
129,"Таунхаус Monarch в Алматы",692521,"Строящийся","III квартал 2023 г.","Алматы, ул. Жамакаева, 155","ATAMURA GROUP","https://krisha.kz/complex/show/almaty/monarch/","business","2 этажа","3 м","monolithic","shell",14,"na","autonomous","Не указано","Не указано","underground","2","almaty"
130,"ЖК Ozhet Plus в Алматы",360000,"Строящийся","Первая очередь - III квартал 2023 г.Вторая очередь - IV квартал 2023 г.","Алматы, Алатауский р-н, ул. Северное кольцо, 92/2","ТОО Асем Курылыс и Ко","https://krisha.kz/complex/show/almaty/ozhetplus/","economy","9 этажей","2.7 м","monolithic","pre-finish",540,"na","autonomous","пассажирский","Не указано","surface","180","almaty"
131,"ЖК RAIYMBEK PARK в Алматы",620000,"Строящийся","IV квартал 2023 г.","Алматы, Алмалинский р-н, ул. Райымбека, 174/2","DIAL GROUP","https://krisha.kz/complex/show/almaty/raiymbekpark/","economy","10 этажей","2.7 м","monolithic","pre-finish",112,"na","central","грузовой, пассажирский","Не указано","нет","Не указано","almaty"
132,"ЖК Qadam в Алматы",362000,"Строящийся","Первая очередь - IV квартал 2023 г.Вторая очередь - IV квартал 2023 г.Третья очередь - III квартал 2024 г.Четвертая очередь - IV квартал 2024 г.","Алматы, Наурызбайский р-н, ул. Береке, 9 стр","Cordial Construction","https://krisha.kz/complex/show/almaty/qadam/","comfort","3 этажа","2.7 м","monolithic","shell",254,"na","autonomous","Не указано","декоративная штукатурка","both","4","almaty"
133,"Клубный дом REGENT в Алматы",830000,"Строящийся","IV квартал 2023 г.","Алматы, Бостандыкский р-н, Жангир хана, 25","ТОО ADS Capital","https://krisha.kz/complex/show/almaty/regent/","elite","3 этажа","3.35 м","brick","pre-finish",27,"discrete","autonomous","пассажирский","травертин","surface","Не указано","almaty"
134,"ЖК Satay в Алматы",NA,"Строящийся","II квартал 2023 г.","Алматы, Жетысуский р-н, ул. Боткина, 14","ТОО Высотник","https://krisha.kz/complex/show/almaty/satay/","economy","9-12 этажей","2.7 м","brick","shell",597,"na","central","пассажирский","фиброцементные панели","surface","Не указано","almaty"
135,"Коттеджный городок Sunrise Village в Алматы",750000,"Строящийся","IV квартал 2023 г.","Алматы, Бостандыкский р-н, ул. Какимбек Салыков, дом 48/4","Asia BS Group","https://krisha.kz/complex/show/almaty/sunrisevillage/","elite","3 этажа","3.5 м","monolithic","pre-finish",6,"discrete","autonomous","Не указано","декоративная штукатурка, керамогранит","na","6","almaty"
136,"ЖК Titul Town в Алматы",380000,"Строящийся","Первая очередь - I квартал 2023 г.Вторая очередь - III квартал 2024 г.","Алматы, Алатауский р-н, ул. 7, 142/92","IQONIQ Construction","https://krisha.kz/complex/show/almaty/titultown/","comfort","5 этажей","3 м","monolithic","shell",996,"na","autonomous","Не указано","фиброцементные панели","surface","150","almaty"
137,"ЖК Vesnovka в Алматы",520000,"Строящийся","II квартал 2023 г.","Алматы, ул. Муканова, 235","KB Development","https://krisha.kz/complex/show/almaty/vesnovka/","business","8-12 этажей","3.3 м","brick","pre-finish",257,"na","central","грузовой, пассажирский","Не указано","both","30","almaty"
138,"ЖК Vostok в Алматы",390000,"Строящийся","2023 г.","Алматы, ул. Жусипбека Аймауытова","Time Group","https://krisha.kz/complex/show/almaty/vostok/","comfort","10 этажей","2.7 м","monolithic","shell",300,"na","central","пассажирский","фиброцементные панели","surface","Не указано","almaty"
139,"ЖК AL’FARABI 27 в Алматы",1092500,"Строящийся","Первая очередь - IV квартал 2022 г.Вторая очередь - IV квартал 2024 г.","Алматы, Бостандыкский р-н, ул. Аль-Фараби - ул. Сейфуллина","BAZIS–А","https://krisha.kz/complex/show/almaty/alfarabi/","business","21 этаж","3 м","monolithic","shell",330,"both","autonomous","грузовой, пассажирский","керамические панели","underground","Не указано","almaty"
140,"ЖК ALA Park в Алматы",850000,"Строящийся","Первая очередь - III квартал 2022 г.Вторая очередь - IV квартал 2022 г.Третья очередь - IV квартал 2023 г.Четвертая очередь - III квартал 2024 г.","Алматы, Бостандыкский р-н, ул. Егизбаева, 7г","BI Group","https://krisha.kz/complex/show/almaty/alapark/","comfort","8-17 этажей","2.7 м","monolithic","pre-finish",911,"na","na","грузовой, пассажирский","Не указано","both","Не указано","almaty"
141,"ЖК Alem City в Алматы",334000,"Строящийся","Первая очередь - IV квартал 2022 г.Вторая очередь - II квартал 2023 г.Третья очередь - III квартал 2024 г.","Алматы, Наурызбайский р-н, мкр. Шугыла, 340/3","Qazaq stroy TOO","https://krisha.kz/complex/show/almaty/alemcity/","economy","9 этажей","2.7 м","monolithic","shell",2217,"discrete","central","грузопассажирский","фиброцементные панели, травертин","surface","1400","almaty"
